"id","nama_toko","id_toko","alamat","kontak","titik_lokasi","",""
"1","Outlet Jakarta","10532","Jakarta, Jakarta","0532","-6.2146,106.8451","",""
"2","Outlet Surabaya","20278","Surabaya, Jawa Timur","0278","-7.2458,112.7378","",""
"3","Outlet Bandung","30706","Bandung, Jawa Barat","0706","-6.95,107.5667","",""
"4","Outlet Bekasi","40737","Bekasi, Jawa Barat","0737","-6.2333,107","",""
"5","Outlet Tangerang","50801","Tangerang, Jawa Barat","0801","-6.1783,106.6319","",""
"6","Outlet Medan","60661","Medan, Sumatera Utara","0661","3.6667,98.6667","",""
"7","Outlet Makassar","7012","Makassar, Sulawesi Selatan","012","-5.1331,119.4136","",""
"8","Outlet Depok","80372","Depok, Jawa Barat","0372","-6.394,106.8225","",""
"9","Outlet Semarang","90188","Semarang, Jawa Tengah","0188","-6.9667,110.4167","",""
"10","Outlet Palembang","100204","Palembang, Sumatera Selatan","0204","-2.9833,104.7644","",""
"11","Outlet Cilacap","110259","Cilacap, Jawa Tengah","0259","-7.7167,109.017","",""
"12","Outlet Bandar Lampung","120718","Bandar Lampung, Lampung","0718","-5.4294,105.2625","",""
"13","Outlet Bogor","130084","Bogor, Jawa Barat","0084","-6.6,106.8","",""
"14","Outlet Patam","140712","Patam, Kepulauan Riau","0712","1.0678,104.0167","",""
"15","Outlet Padang","150382","Padang, Sumatera Barat","0382","-0.9556,100.3606","",""
"16","Outlet Pekanbaru","160808","Pekanbaru, Riau","0808","0.5333,101.45","",""
"17","Outlet Denpasar","170833","Denpasar, Bali","0833","-8.6667,115.2167","",""
"18","Outlet Malang","180025","Malang, Jawa Timur","0025","-7.98,112.62","",""
"19","Outlet Samarinda","190676","Samarinda, Kalimantan Timur","0676","-0.5022,117.1536","",""
"20","Outlet Banjarmasin","200976","Banjarmasin, Kalimantan Selatan","0976","-3.3333,114.5833","",""
"21","Outlet Tasikmalaya","210402","Tasikmalaya, Jawa Barat","0402","-7.3333,108.2","",""
"22","Outlet Pontianak","22042","Pontianak, Kalimantan Barat","042","-0.0206,109.3414","",""
"23","Outlet Serang","230711","Serang, Banten","0711","-6.12,106.1503","",""
"24","Outlet Jambi","240755","Jambi, Jambi","0755","-1.59,103.61","",""
"25","Outlet Balikpapan","250506","Balikpapan, Kalimantan Timur","0506","-1.1489,116.9031","",""
"26","Outlet Cimahi","260284","Cimahi, Jawa Barat","0284","-6.8833,107.5333","",""
"27","Outlet Surakarta","270208","Surakarta, Jawa Tengah","0208","-7.5667,110.8167","",""
"28","Outlet Manado","280961","Manado, Sulawesi Utara","0961","1.4931,124.8413","",""
"29","Outlet Kupang","290653","Kupang, Nusa Tenggara Timur","0653","-10.1633,123.5778","",""
"30","Outlet Yogyakarta","300424","Yogyakarta, Yogyakarta","0424","-7.8014,110.3644","",""
"31","Outlet Jayapura","310318","Jayapura, Papua","0318","-2.5333,140.7167","",""
"32","Outlet Mataram","320769","Mataram, Nusa Tenggara Barat","0769","-8.5833,116.1167","",""
"33","Outlet Cilegon","330156","Cilegon, Banten","0156","-6.0027,106.0112","",""
"34","Outlet Ambon","340561","Ambon, Maluku","0561","-3.705,128.17","",""
"35","Outlet Bengkulu","350198","Bengkulu, Bengkulu","0198","-3.7956,102.2592","",""
"36","Outlet Palu","360527","Palu, Sulawesi Tengah","0527","-0.895,119.8594","",""
"37","Outlet Kendari","370666","Kendari, Sulawesi Tenggara","0666","-3.9675,122.5947","",""
"38","Outlet Sukabumi","380777","Sukabumi, Jawa Barat","0777","-6.9197,106.9272","",""
"39","Outlet Cirebon","390463","Cirebon, Jawa Barat","0463","-6.7167,108.5667","",""
"40","Outlet Jember","400498","Jember, Jawa Timur","0498","-8.1727,113.6873","",""
"41","Outlet Pekalongan","410189","Pekalongan, Jawa Tengah","0189","-6.8883,109.6753","",""
"42","Outlet Pematangsiantar","420525","Pematangsiantar, Sumatera Utara","0525","2.96,99.06","",""
"43","Outlet Tegal","430868","Tegal, Jawa Tengah","0868","-6.8667,109.1333","",""
"44","Outlet Majene","440559","Majene, Sulawesi Barat","0559","-3.5336,118.966","",""
"45","Outlet Sorong","450626","Sorong, Papua Barat","0626","-0.8667,131.25","",""
"46","Outlet Binjai","460142","Binjai, Sumatera Utara","0142","3.6,98.4853","",""
"47","Outlet Dumai","470699","Dumai, Riau","0699","1.6667,101.45","",""
"48","Outlet Kediri","480961","Kediri, Jawa Timur","0961","-7.8166,112.0119","",""
"49","Outlet Palangkaraya","490273","Palangkaraya, Kalimantan Tengah","0273","-2.21,113.92","",""
"50","Outlet Banda Aceh","500608","Banda Aceh, Aceh","0608","5.55,95.3175","",""
"51","Outlet Singaraja","510525","Singaraja, Bali","0525","-8.1152,115.0944","",""
"52","Outlet Singkawang","520282","Singkawang, Kalimantan Barat","0282","0.9,108.9833","",""
"53","Outlet Padangsidempuan","530856","Padangsidempuan, Sumatera Utara","0856","1.3667,99.2667","",""
"54","Outlet Tanjungpinang","540876","Tanjungpinang, Kepulauan Riau","0876","0.9188,104.4554","",""
"55","Outlet Martapura","550645","Martapura, Kalimantan Selatan","0645","-3.4135,114.8365","",""
"56","Outlet Gorontalo","560122","Gorontalo, Gorontalo","0122","0.5411,123.0594","",""
"57","Outlet Prabumulih","570891","Prabumulih, Sumatera Selatan","0891","-3.4328,104.2356","",""
"58","Outlet Banjar","580825","Banjar, Jawa Barat","0825","-7.3667,108.5333","",""
"59","Outlet Pinrang","59033","Pinrang, Sulawesi Selatan","033","-3.7857,119.6522","",""
"60","Outlet Banyuwangi","60038","Banyuwangi, Jawa Timur","038","-8.195,114.3696","",""
"61","Outlet Gunungsitoli","610291","Gunungsitoli, Sumatera Utara","0291","1.1167,97.5667","",""
"62","Outlet Pageralam","62088","Pageralam, Sumatera Selatan","088","-4.0217,103.2522","",""
"63","Outlet Pangkalpinang","630921","Pangkalpinang, Kepulauan Bangka Belitung","0921","-2.1,106.1","",""
"64","Outlet Indramayu","640817","Indramayu, Jawa Barat","0817","-6.3356,108.319","",""
"65","Outlet Pati","650053","Pati, Jawa Tengah","0053","-6.7415,111.0347","",""
"66","Outlet Raba","660605","Raba, Nusa Tenggara Barat","0605","-8.4614,118.747","",""
"67","Outlet Maumere","670567","Maumere, Nusa Tenggara Timur","0567","-8.6189,122.2123","",""
"68","Outlet Biak","680767","Biak, Papua","0767","-1.1615,136.0485","",""
"69","Outlet Tomohon","690103","Tomohon, Sulawesi Utara","0103","1.3244,124.8225","",""
"70","Outlet Sampit","700068","Sampit, Kalimantan Tengah","0068","-2.5329,112.95","",""
"71","Outlet Pariaman","71023","Pariaman, Sumatera Barat","023","-0.6261,100.1206","",""
"72","Outlet Sumenep","720712","Sumenep, Jawa Timur","0712","-7.0049,113.8496","",""
"73","Outlet Watampone","730698","Watampone, Sulawesi Selatan","0698","-4.5328,120.3334","",""
"74","Outlet Ende","740801","Ende, Nusa Tenggara Timur","0801","-8.8333,121.65","",""
"75","Outlet Tuban","750249","Tuban, Jawa Timur","0249","-6.8995,112.05","",""
"76","Outlet Manokwari","76024","Manokwari, Papua Barat","024","-0.8711,134.0693","",""
"77","Outlet Lahat","770454","Lahat, Sumatera Selatan","0454","-3.8,103.5333","",""
"78","Outlet Tanjungpandan","780776","Tanjungpandan, Kepulauan Bangka Belitung","0776","-2.75,107.65","",""
"79","Outlet Ruteng","790926","Ruteng, Nusa Tenggara Timur","0926","-8.6118,120.4698","",""
"80","Outlet Waingapu","80084","Waingapu, Nusa Tenggara Timur","084","-9.6582,120.253","",""
"81","Outlet Luwuk","810573","Luwuk, Sulawesi Tengah","0573","-0.9396,122.79","",""
"82","Outlet Amahai","820462","Amahai, Maluku","0462","-3.3281,128.9405","",""
"83","Outlet Poso","830684","Poso, Sulawesi Tengah","0684","-1.3896,120.76","",""
"84","Outlet Nabire","84036","Nabire, Papua","036","-3.3515,135.5134","",""
"85","Outlet Rantepao","85038","Rantepao, Sulawesi Selatan","038","-2.969,119.9","",""
"86","Outlet Kuala Kapuas","860581","Kuala Kapuas, Kalimantan Tengah","0581","-3.0996,114.35","",""
"87","Outlet Praya","870106","Praya, Nusa Tenggara Barat","0106","-8.7223,116.2923","",""
"88","Outlet Merauke","880974","Merauke, Papua","0974","-8.4932,140.4018","",""
"89","Outlet Makale","89096","Makale, Sulawesi Selatan","096","-3.086,119.8469","",""
"90","Outlet Tarutung","900051","Tarutung, Sumatera Utara","0051","2.0171,98.9667","",""
"91","Outlet Bumiayu","910957","Bumiayu, Jawa Timur","0957","-8.0151,112.6347","",""
"92","Outlet Gadang","920327","Gadang, Jawa Timur","0327","-8.0123,112.6283","",""
"93","Outlet Kalisari","930916","Kalisari, Jawa Timur","0916","-8.0234,112.6483","",""
"94","Outlet Ploso","940124","Ploso, Jawa Timur","0124","-7.2522,112.7633","",""
"95","Outlet Gubengairlangga","950476","Gubengairlangga, Jawa Timur","0476","-7.2729,112.7573","",""
"96","Outlet Gubengkertajaya","960517","Gubengkertajaya, Jawa Timur","0517","-7.276,112.7563","",""
"97","Outlet Panjangjiwo","970866","Panjangjiwo, Jawa Timur","0866","-7.3129,112.7641","",""
"98","Outlet Kedungasem","980453","Kedungasem, Jawa Timur","0453","-7.3216,112.7787","",""
"99","Outlet Wonorejo","990194","Wonorejo, Jawa Timur","0194","-7.3114,112.7968","",""
"100","Outlet Mojo","1000732","Mojo, Jawa Timur","0732","-7.2747,112.7633","",""
"101","Outlet Medokanayu","1010333","Medokanayu, Jawa Timur","0333","-7.3256,112.7988","",""
"102","Outlet Prapen","1020895","Prapen, Jawa Timur","0895","-7.3145,112.7567","",""
"103","Outlet Jagirsidosermo","1030849","Jagirsidosermo, Jawa Timur","0849","-7.3068,112.7545","",""
"104","Outlet Tenggilis Lama","1040658","Tenggilis Lama, Jawa Timur","0658","-7.3166,112.7628","",""
"105","Outlet Tambakrejo","1050294","Tambakrejo, Jawa Timur","0294","-7.2472,112.7558","",""
"106","Outlet Labansari","106091","Labansari, Jawa Timur","091","-7.2597,112.7913","",""
