"id","nama_desa","kecamatan_id"
"44001","KUTOREJO","3579"
"44002","KUTORENON","3669"
"44003","KUTU KULON","3734"
"44004","KUTU WETAN","3734"
"44005","KUWIK","3411"
"44006","KUWIRAN","3663"
"44007","KUWOLU","3375"
"44008","KUWON","3674"
"44009","KUWONHARJO","3782"
"44010","KUWU","3314"
"44011","KUWUREJO","3515"
"44012","KWADUNGAN LOR","3504"
"44013","KWADUNGAN","3460"
"44014","KWADUNGAN","3764"
"44015","KWAGEAN","3368"
"44016","KWAJON","3440"
"44017","KWANGSAN","3495"
"44018","KWANGSEN","3593"
"44019","KWANYAR BARAT","3571"
"44020","KWARON","3403"
"44021","KWARON","3755"
"44022","KWATU","3800"
"44023","KWEDEN","3657"
"44024","KWEDENKEMBAR","3800"
"44025","LABAN","3639"
"44026","LABANASEM","3344"
"44027","LABANG","3586"
"44028","LABANG","3472"
"44029","LABRUK KIDUL","3820"
"44030","LABRUK LOR","3532"
"44031","LABUHAN","3685"
"44032","LABUHAN","3475"
"44033","LABUHAN","3472"
"44034","LADEN","3567"
"44035","LAJING","3301"
"44036","LAJO KIDUL","3644"
"44037","LAJO LOR","3644"
"44038","LAJUK","3366"
"44039","LAJUK","3719"
"44040","LAKAR SANTRI","3467"
"44041","LAKARDOWO","3527"
"44042","LALADAN","3330"
"44043","LALANGON","3785"
"44044","LAMBANG KUNING","3431"
"44045","LAMBANGAN","3588"
"44046","LAMBANGKUNING","3673"
"44047","LAMONG","3339"
"44048","LAMONGAN","3293"
"44049","LAMONGREJO","3730"
"44050","LAMPAH","3554"
"44051","LAMPEJI","3862"
"44052","LANAS","3675"
"44053","LANCAR","3660"
"44054","LANDAK","3360"
"44055","LANDANGAN","3735"
"44056","LANDUNGSARI","3786"
"44057","LANGENHARJO","3512"
"44058","LANGKAP","3342"
"44059","LANGKAP","3636"
"44060","LANGKAP","3236"
"44061","LANGLANG","3283"
"44062","LANGON","3335"
"44063","LANGPANGGANG","3245"
"44064","LANGSAR","3226"
"44065","LANJUK","3785"
"44066","LANTEK BARAT","3471"
"44067","LANTEK TEMOR","3471"
"44068","LAOK JANGJANG","3279"
"44069","LAPA DAYA","3437"
"44070","LAPA LAOK","3437"
"44071","LAPA TAMAN","3437"
"44072","LAR LAR","3305"
"44073","LARANGAN BADUNG","3231"
"44074","LARANGAN BARMA","3224"
"44075","LARANGAN DALAM","3660"
"44076","LARANGAN GLINTONG","3535"
"44077","LARANGAN KERTA","3224"
"44078","LARANGAN LUAR","3660"
"44079","LARANGAN PERENG","3225"
