id,nama_kecamatan,kota_id
4501,REOK BARAT,287
4502,LEMBUR,272
4503,PAGA,276
4504,ROTE TENGAH,285
4505,WEWEWA UTARA,281
4506,NELLE (MAUMEREI),276
4507,SANTIAN,270
4508,PULAU PURA,272
4509,KUPANG TENGAH,275
4510,ENDE SELATAN,273
4511,MUTIS,278
4512,WOLOJITA,273
4513,FATULEU TENGAH,275
4514,BIBOKI TAN PAH,278
4515,BIBOKI SELATAN,278
4516,SEBANGKI,290
4517,MANIS MATA,291
4518,JELAI HULU,291
4519,AIR UPAS,291
4520,KENDAWANGAN,291
4521,KETUNGAU HILIR,292
4522,KUBU,293
4523,PONTIANAK SELATAN,294
4524,SANDAI,291
4525,TELUK BATANG,295
4526,NGABANG,290
4527,SADANIANG,294
4528,BATU AMPAR,293
4529,SOMPAK,290
4530,MERANTI,290
4531,BINJAI HULU,292
4532,TERIAK,296
4533,SENGAH TEMILA,290
4534,JELIMPO,290
4535,SINTANG,292
4536,KUALA BEHE,290
4537,MENYUKE,290
4538,ANJONGAN,294
4539,MEMPAWAH HULU,290
4540,MEMPAWAH TIMUR,294
4541,SEI / SUNGAI RAYA,293
4542,KETUNGAU TENGAH,292
4543,CAPKALA,296
4544,PUTUSSIBAU UTARA,297
4545,TANGARAN,298
4546,TELUK / TELOK PAKEDAI,293
4547,TUMBANG TITI,291
4548,SAMALANTAN,296
4549,BADAU,297
4550,SINGKAWANG TIMUR,299
4551,TOBA,300
4552,KALIS,297
4553,BONTI,300
4554,EMPANANG,297
4555,JAWAI,298
4556,BUNUT HULU,297
4557,MELIAU,300
4558,BELIMBING,301
4559,SUBAH,298
4560,TEMPUNAK,292
4561,TAYAN HILIR,300
4562,SEKAYAM,300
4563,SIMPANG HULU,291
4564,JANGKANG,300
4565,BELITANG HULU,302
4566,SUNGAI TEBELIAN,292
4567,SANGGAU LEDO,296
4568,PONTIANAK TENGGARA,294
4569,SEPAUK,292
4570,BENGKAYANG,296
4571,KELAM PERMAI,292
4572,PONTIANAK TIMUR,294
4573,BENUA KAYONG,291
4574,MARAU,291
4575,EMBALOH HULU,297
4576,SUNGAI LAUR,291
4577,SERAWAI (NANGA SERAWAI),292
4578,DEDAI,292
4579,NANGA PINOH,301
4580,SILAT HILIR,297
4581,TANAH PINOH,301
4582,MENUKUNG,301
4583,SEBERUANG,297
4584,SIMPANG HILIR,295
4585,SIMPANG DUA,291
4586,HULU SUNGAI,291
4587,PONTIANAK UTARA,294
4588,TEBAS,298
4589,NANGA MAHAP,302
4590,NANGA TAYAP,291
4591,PINOH SELATAN,301
4592,MANDOR,290
4593,KETUNGAU HULU,292
4594,KAPUAS (SANGGAU KAPUAS),300
4595,EMBALOH HILIR,297
4596,LUMAR,296
4597,SILAT HULU,297
4598,BELITANG,302
4599,BELIMBING HULU,301
4600,ELLA HILIR,301
4601,SUKADANA,295
4602,SEI / SUNGAI AMBAWANG,293
4603,SELUAS,296
4604,MENJALIN,290
4605,TUJUH BELAS,296
4606,AIR BESAR,290
4607,SELAKAU,298
4608,TOHO,294
4609,SELIMBAU,297
4610,TAYAN HULU,300
4611,BEDUAI (BEDUWAI),300
4612,MONTERADO,296
4613,PUTUSSIBAU SELATAN,297
4614,SUNGAI MELAYU RAYAK,291
4615,HULU GURUNG,297
4616,SAJAD,298
4617,TELUK KERAMAT,298
4618,SAYAN,301
4619,KEPULAUAN KARIMATA,295
4620,TERENTANG,293
4621,BIKA,297
4622,RASAU JAYA,293
