id,desa_id,kecamatan_id,kota_id,provinsi_id,kode_pos
22001,21991,1649,125,8,35213
22002,21992,1710,127,8,35376
22003,21993,1618,131,8,34693
22004,21994,1721,133,8,34881
22005,21995,1569,129,8,35551
22006,21996,1629,129,8,35552
22007,21997,1629,129,8,35552
22008,21998,1571,130,8,34682
22009,21999,1713,128,8,34182
22010,22000,1717,123,8,34554
22011,22001,1594,130,8,34619
22012,22002,1594,130,8,34617
22013,22003,1704,128,8,34372
22014,22004,1675,125,8,34159
22015,22005,1717,123,8,34554
22016,22006,1717,123,8,34554
22017,22007,1688,123,8,34516
22018,22008,1657,135,8,35451
22019,22009,1631,123,8,34555
22020,22010,1645,132,8,35379
22021,22011,1657,135,8,35451
22022,22012,1653,135,8,35367
22023,22013,1634,125,8,34173
22024,22014,1663,129,8,35356
22025,22015,1595,135,8,35366
22026,22016,1722,133,8,34871
22027,22017,1723,133,8,34871
22028,22018,1718,123,8,34558
22029,22019,1598,124,8,34761
22030,22020,1629,129,8,35552
22031,22021,1580,123,8,34511
22032,22022,1654,124,8,34768
22033,22023,1586,132,8,35374
22034,22024,1620,132,8,35686
22035,22025,1620,132,8,35686
22036,22026,1620,132,8,35686
22037,22027,1645,132,8,35379
22038,22028,1695,124,8,34765
22039,22029,1576,132,8,35679
22040,22030,1574,132,8,35377
22041,22031,1724,131,8,34594
22042,22032,1724,131,8,34594
22043,22033,1724,131,8,34594
22044,22034,1691,130,8,34596
22045,22035,1568,125,8,34172
22046,22036,1642,125,8,34164
22047,22037,1706,125,8,34166
22048,22038,1585,124,8,34766
22049,22039,1713,128,8,34182
22050,22040,1725,136,8,35116
22051,22041,1657,135,8,35451
22052,22042,1726,126,8,34697
22053,22043,1687,130,8,34595
22054,22044,1644,130,8,34682
22055,22045,1694,123,8,34556
22056,22046,1726,126,8,34697
22057,22047,1706,125,8,34166
22058,22048,1564,127,8,35674
22059,22049,1727,136,8,35118
22060,22050,1701,127,8,35373
22061,22051,1674,133,8,34872
22062,22052,1563,126,8,34698
22063,22053,1706,125,8,34166
22064,22054,1646,129,8,35365
22065,22055,1728,127,8,35376
22066,22056,1563,126,8,34698
22067,22057,1635,125,8,34161
22068,22058,1729,133,8,34884
22069,22059,1563,126,8,34698
22070,22060,1642,125,8,34164
22071,22061,1728,127,8,35376
22072,22062,1701,127,8,35373
22073,22063,1686,127,8,35372
22074,22064,1592,132,8,35675
22075,22065,1686,127,8,35372
22076,22066,1686,127,8,35372
22077,22067,1692,129,8,35361
22078,22068,1730,125,8,34176
22079,22069,1661,129,8,35592
22080,22070,1731,137,8,34114
22081,22071,1731,137,8,34125
22082,22072,1710,127,8,35376
22083,22073,1566,128,8,34391
22084,22074,1566,128,8,34391
22085,22075,1712,136,8,35227
22086,22076,1638,132,8,35386
22087,22077,1732,125,8,34158
22088,22078,1732,125,8,34158
22089,22079,1732,125,8,34158
22090,22080,1732,125,8,34158
22091,22081,1675,125,8,34159
22092,22082,1732,125,8,34158
22093,22083,1732,125,8,34158
22094,22084,1732,125,8,34158
22095,22085,1661,129,8,35592
22096,22086,1706,125,8,34166
22097,22087,1657,135,8,35451
22098,22088,1604,134,8,34876
22099,22089,1733,136,8,35151
22100,22090,1684,124,8,34764
22101,22091,1734,136,8,35145
22102,22092,1734,136,8,35145
22103,22093,1735,136,8,35222
22104,22094,1561,124,8,34769
22105,22095,1615,124,8,34769
22106,22096,1651,132,8,35683
22107,22097,1646,129,8,35365
22108,22098,1575,132,8,35679
22109,22099,1578,130,8,34681
22110,22100,1736,130,8,34595
22111,22101,1600,130,8,34596
22112,22102,1600,130,8,34596
22113,22103,1631,123,8,34555
22114,22104,1696,126,8,34684
22115,22105,1709,134,8,34883
22116,22106,1704,128,8,34372
22117,22107,1653,135,8,35367
22118,22108,1730,125,8,34176
22119,22109,1646,129,8,35365
22120,22110,1615,124,8,34769
22121,22111,1736,130,8,34595
22122,22112,1730,125,8,34176
22123,22113,1660,132,8,35384
22124,22114,1582,130,8,34595
22125,22115,1711,130,8,34596
22126,22116,1650,123,8,34554
22127,22117,1676,123,8,34555
22128,22118,1600,130,8,34596
22129,22119,1600,130,8,34596
22130,22120,1615,124,8,34769
22131,22121,1676,123,8,34555
22132,22122,1643,123,8,34583
22133,22123,1598,124,8,34761
22134,22124,1676,123,8,34555
22135,22125,1632,126,8,34598
22136,22126,1622,125,8,35513
22137,22127,1737,131,8,34691
22138,22128,1736,130,8,34595
22139,22129,1598,124,8,34761
22140,22130,1684,124,8,34764
22141,22131,1622,125,8,35513
22142,22132,1723,133,8,34871
22143,22133,1595,135,8,35366
22144,22134,1738,128,8,34386
22145,22135,1738,128,8,34386
22146,22136,1667,135,8,35363
22147,22137,1661,129,8,35592
22148,22138,1695,124,8,34765
22149,22139,1710,127,8,35376
22150,22140,1667,135,8,35363
22151,22141,1739,133,8,34885
22152,22142,1740,131,8,34388
22153,22143,1560,123,8,34581
22154,22144,1698,124,8,34763
22155,22145,1741,128,8,34382
22156,22146,1669,128,8,34384
22157,22147,1728,127,8,35376
22158,22148,1741,128,8,34382
22159,22149,1684,124,8,34764
22160,22150,1659,132,8,35378
22161,22151,1659,132,8,35378
22162,22152,1561,124,8,34769
22163,22153,1659,132,8,35378
22164,22154,1566,128,8,34391
22165,22155,1639,125,8,34162
22166,22156,1725,136,8,35119
22167,22157,1742,136,8,35214
22168,22158,1710,127,8,35376
22169,22159,1710,127,8,35376
22170,22160,1743,131,8,34683
22171,22161,1700,125,8,34161
22172,22162,1743,131,8,34683
22173,22163,1680,136,8,35157
22174,22164,1647,128,8,34385
22175,22165,1612,125,8,34167
22176,22166,1654,124,8,34768
22177,22167,1612,125,8,34167
22178,22168,1612,125,8,34167
22179,22169,1612,125,8,34167
22180,22170,1744,123,8,34582
22181,22171,1707,123,8,34558
22182,22172,1679,124,8,34762
22183,22173,1590,132,8,35686
22184,22174,1744,123,8,34582
22185,22175,1745,125,8,34176
22186,22176,1592,132,8,35675
22187,22177,1746,123,8,34557
22188,22178,1737,131,8,34691
22189,22179,1737,131,8,34691
22190,22180,1598,124,8,34761
22191,22181,1648,134,8,34874
22192,22182,1648,134,8,34874
22193,22183,1747,123,8,34581
22194,22184,1650,123,8,34554
22195,22185,1654,124,8,34768
22196,22186,1718,123,8,34558
22197,22187,1669,128,8,34384
22198,22188,1735,136,8,35211
22199,22189,1575,132,8,35679
22200,22190,1567,128,8,34384
22201,22191,1724,131,8,34594
22202,22192,1575,132,8,35679
22203,22193,1647,128,8,34385
22204,22194,1647,128,8,34385
22205,22195,1654,124,8,34768
22206,22196,1718,123,8,34554
22207,22197,1609,133,8,34882
22208,22198,1669,128,8,34384
22209,22199,1728,127,8,35376
22210,22200,1745,125,8,34176
22211,22201,1657,135,8,35451
22212,22202,1744,123,8,34582
22213,22203,1684,124,8,34764
22214,22204,1747,123,8,34581
22215,22205,1727,136,8,35111
22216,22206,1654,124,8,34768
22217,22207,1635,125,8,34161
22218,22208,1740,131,8,34388
22219,22209,1577,124,8,34767
22220,22210,1574,132,8,35387
22221,22211,1667,135,8,35363
22222,22212,1647,128,8,34385
22223,22213,1567,128,8,34384
22224,22214,1635,125,8,34161
22225,22215,1596,133,8,34816
22226,22216,1721,133,8,34881
22227,22217,1635,125,8,34161
22228,22218,1591,135,8,35368
22229,22219,1748,136,8,35136
22230,22220,1600,130,8,34596
22231,22221,1600,130,8,34596
22232,22222,1600,130,8,34596
22233,22223,1600,130,8,34596
22234,22224,1749,133,8,34876
22235,22225,1652,132,8,35682
22236,22226,1743,131,8,34683
22237,22227,1569,129,8,35551
22238,22228,1680,136,8,35152
22239,22229,1704,128,8,34372
22240,22230,1592,132,8,35675
22241,22231,1724,131,8,34594
22242,22232,1679,124,8,34762
22243,22233,1653,135,8,35367
22244,22234,1673,135,8,35368
22245,22235,1574,132,8,35387
22246,22236,1678,132,8,35382
22247,22237,1696,126,8,34684
22248,22238,1750,137,8,34113
22249,22239,1750,137,8,34113
22250,22240,1715,123,8,34555
22251,22241,1625,125,8,34175
22252,22242,1623,129,8,35362
22253,22243,1700,125,8,34161
22254,22244,1623,129,8,35362
22255,22245,1640,135,8,35353
22256,22246,1631,123,8,34555
22257,22247,1613,133,8,34879
22258,22248,1657,135,8,35451
22259,22249,1657,135,8,35451
22260,22250,1569,129,8,35551
